Player,Attempts,Net_Yards,Avg,TD
"Raymond, Antwan",244,1241,5.1,13
"Benjamin, Ja'shon",68,328,4.8,2
"Campbell Jr., CJ",22,119,5.4,0
"Brown V, Samuel",16,38,2.4,0
"Guerrier, Edd",7,25,3.6,0
"Mitchell, Terrell",3,14,4.7,0
"Ashenfelder, Sean",1,-3,-3.0,0
"Patel, Jai",1,-3,-3.0,0
"Surace, AJ",2,-5,-2.5,0
"Kaliakmanis, Athan",96,-26,-0.3,4
