Player,Receptions,Yards,TD
"Duff, KJ",60,1084,7
"Strong, Ian",52,762,5
"Sheffield, DT",44,577,5
"Fletcher Jr., Kenny",26,236,0
"Raymond, Antwan",18,225,2
"Black, Ben",8,119,1
"Weber, Colin",17,102,0
"Thomas III, Michael",1,25,1
